Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
TMA16	4q32.2	8.26	8.3000000000000007	0.59	0.57999999999999996	-0.04	0.57899999999999996	0.78	 CLDN4 Low
PTPRJ	11p11.2	9.6300000000000008	9.68	0.79	0.78	-0.05	0.57899999999999996	0.78	 CLDN4 Low
EID2	19q13.2	8.35	8.3000000000000007	0.78	0.73	0.05	0.57999999999999996	0.78	 CLDN4 High 
MTMR11	1q21.2	7.64	7.69	0.85	0.81	-0.05	0.57999999999999996	0.78	 CLDN4 Low
ANO4	12q23.1	2.15	2.0499999999999998	1.43	1.62	0.1	0.57999999999999996	0.78100000000000003	 CLDN4 High 
ATP6V1B2	8p21.3	10.4	10.36	0.56999999999999995	0.59	0.04	0.57999999999999996	0.78100000000000003	 CLDN4 High 
MMP19	12q13.2	8.75	8.8000000000000007	0.66	0.74	-0.04	0.57999999999999996	0.78100000000000003	 CLDN4 Low
OASL	12q24.31	8.19	8.08	1.66	1.68	0.11	0.57999999999999996	0.78100000000000003	 CLDN4 High 
MYO1H	12q24.11	1.79	1.85	1.01	0.98	-0.06	0.57999999999999996	0.78100000000000003	 CLDN4 Low
DCUN1D2	13q34	8.41	8.4600000000000009	0.77	0.7	-0.05	0.57999999999999996	0.78100000000000003	 CLDN4 Low
PDE8B	5q13.3	4.07	4.16	1.39	1.39	-0.09	0.57999999999999996	0.78100000000000003	 CLDN4 Low
GAMT	19p13.3	7.26	7.17	1.44	1.36	0.09	0.57999999999999996	0.78100000000000003	 CLDN4 High 
TAS2R20	12p13.2	3.87	3.92	0.86	0.83	-0.05	0.57999999999999996	0.78100000000000003	 CLDN4 Low
PPFIA2	12q21.31	1.72	1.65	1.1499999999999999	1.03	7.0000000000000007E-2	0.57999999999999996	0.78100000000000003	 CLDN4 High 
ZNF91	19p12	8.8800000000000008	8.92	0.68	0.66	-0.04	0.57999999999999996	0.78100000000000003	 CLDN4 Low
HSP90AB4P	15q21.3	1.97	2.02	0.82	0.78	-0.05	0.57999999999999996	0.78100000000000003	 CLDN4 Low
CAMK2B	7p13	5.09	5.21	1.88	1.77	-0.12	0.58099999999999996	0.78100000000000003	 CLDN4 Low
STRN3	14q12	9	8.9700000000000006	0.54	0.49	0.03	0.58099999999999996	0.78100000000000003	 CLDN4 High 
LRCH1	13q14.13-q14.2	8.4	8.44	0.67	0.62	-0.04	0.58099999999999996	0.78100000000000003	 CLDN4 Low
IRF8	16q24.1	7.22	7.31	1.3	1.37	-0.08	0.58099999999999996	0.78100000000000003	 CLDN4 Low
CRNN	1q21.3	1.35	1.23	2.0299999999999998	1.81	0.12	0.58099999999999996	0.78100000000000003	 CLDN4 High 
CRIPAK	4p16.3	7.18	7.25	1.02	0.98	-0.06	0.58099999999999996	0.78100000000000003	 CLDN4 Low
GALR2	17q25.1	2.52	2.42	1.57	1.56	0.1	0.58099999999999996	0.78100000000000003	 CLDN4 High 
CCL1	17q12	0.23	0.26	0.46	0.55000000000000004	-0.03	0.58099999999999996	0.78100000000000003	 CLDN4 Low
RPS18	6p21.32	12.83	12.77	0.98	0.92	0.06	0.58099999999999996	0.78100000000000003	 CLDN4 High 
C1ORF54	1q21.2	5.8	5.86	0.88	0.84	-0.05	0.58099999999999996	0.78100000000000003	 CLDN4 Low
AMELX	Xp22.2	0.15	0.11	0.95	0.25	0.04	0.58099999999999996	0.78100000000000003	 CLDN4 High 
CSMD1	8p23.2	1.54	1.42	2.11	1.83	0.12	0.58099999999999996	0.78100000000000003	 CLDN4 High 
DUSP12	1q23.3	8.2799999999999994	8.31	0.45	0.46	-0.03	0.58099999999999996	0.78100000000000003	 CLDN4 Low
LCMT1	16p12.1	9.41	9.44	0.5	0.47	-0.03	0.58099999999999996	0.78100000000000003	 CLDN4 Low
FBXO15	18q22.3	4.41	4.51	1.75	1.57	-0.1	0.58099999999999996	0.78100000000000003	 CLDN4 Low
YWHAE	17p13.3	13.58	13.62	0.64	0.6	-0.04	0.58099999999999996	0.78200000000000003	 CLDN4 Low
SNCA	4q22.1	5.84	5.76	1.4	1.33	0.09	0.58199999999999996	0.78200000000000003	 CLDN4 High 
ENOSF1	18p11.32	8.4	8.35	0.81	0.75	0.05	0.58199999999999996	0.78200000000000003	 CLDN4 High 
GOLGA2	9q34.11	10.39	10.35	0.63	0.62	0.04	0.58199999999999996	0.78200000000000003	 CLDN4 High 
LHFPL6	13q13.3-q14.11	7.8	7.86	0.98	1.1200000000000001	-7.0000000000000007E-2	0.58199999999999996	0.78200000000000003	 CLDN4 Low
CIB3	19p13.11	0.3	0.26	0.7	0.69	0.04	0.58199999999999996	0.78200000000000003	 CLDN4 High 
SLC35A3	1p21.2	8.15	8.11	0.56000000000000005	0.64	0.04	0.58199999999999996	0.78200000000000003	 CLDN4 High 
TBC1D2	9q22.33	8.94	8.8800000000000008	0.99	1.04	0.06	0.58199999999999996	0.78200000000000003	 CLDN4 High 
MPHOSPH10	2p13.3	9.36	9.3800000000000008	0.37	0.41	-0.02	0.58199999999999996	0.78200000000000003	 CLDN4 Low
RNF144A	2p25.1	9.49	9.5500000000000007	0.8	0.95	-0.06	0.58199999999999996	0.78200000000000003	 CLDN4 Low
ZNF138	7q11.21	7.87	7.83	0.69	0.65	0.04	0.58199999999999996	0.78200000000000003	 CLDN4 High 
LRRC14	8q24.3	9.99	10.029999999999999	0.73	0.65	-0.04	0.58299999999999996	0.78300000000000003	 CLDN4 Low
SLC35E4	22q12.2	7.03	7.09	1	0.92	-0.06	0.58299999999999996	0.78300000000000003	 CLDN4 Low
DUOX1	15q21.1	6.69	6.79	1.71	1.66	-0.11	0.58299999999999996	0.78300000000000003	 CLDN4 Low
OR4C16	11q11	0.01	0.01	0.12	0.05	0.01	0.58299999999999996	0.78300000000000003	 CLDN4 High 
PGM5	9q21.11	7.04	6.92	1.83	2.0699999999999998	0.12	0.58299999999999996	0.78300000000000003	 CLDN4 High 
TSPAN32	11p15.5	4.6399999999999997	4.55	1.46	1.36	0.09	0.58299999999999996	0.78300000000000003	 CLDN4 High 
CSN2	4q13.3	0.2	0.26	0.62	1.1399999999999999	-0.06	0.58299999999999996	0.78300000000000003	 CLDN4 Low
CCT6B	17q12	4.88	4.9400000000000004	1.07	1.01	-7.0000000000000007E-2	0.58299999999999996	0.78300000000000003	 CLDN4 Low
FCHSD1	5q31.3	8.5	8.4600000000000009	0.69	0.72	0.04	0.58299999999999996	0.78300000000000003	 CLDN4 High 
RCN3	19q13.33	9.66	9.58	1.1499999999999999	1.26	0.08	0.58399999999999996	0.78300000000000003	 CLDN4 High 
SNX12	Xq13.1	8.2200000000000006	8.18	0.47	0.56000000000000005	0.03	0.58399999999999996	0.78300000000000003	 CLDN4 High 
E4F1	16p13.3	9.17	9.15	0.43	0.43	0.03	0.58399999999999996	0.78400000000000003	 CLDN4 High 
APEX1	14q11.2	12.53	12.49	0.69	0.57999999999999996	0.04	0.58399999999999996	0.78400000000000003	 CLDN4 High 
SNORA36C	2p14	0.01	0.01	7.0000000000000007E-2	7.0000000000000007E-2	0	0.58399999999999996	0.78400000000000003	 CLDN4 Low
MIR924HG	18q12.2-q12.3	4.5999999999999996	4.71	1.54	1.68	-0.1	0.58399999999999996	0.78400000000000003	 CLDN4 Low
AURKAP1	1q41	3.41	3.47	0.89	1.01	-0.06	0.58399999999999996	0.78400000000000003	 CLDN4 Low
XYLB	3p22.2	6.86	6.92	0.79	0.92	-0.05	0.58399999999999996	0.78400000000000003	 CLDN4 Low
PHOX2A	11q13.4	6.27	6.08	3.08	2.92	0.19	0.58399999999999996	0.78400000000000003	 CLDN4 High 
CTSO	4q32.1	9.2200000000000006	9.27	0.81	0.76	-0.05	0.58499999999999996	0.78400000000000003	 CLDN4 Low
ATG4A	Xq22.3	7.55	7.59	0.51	0.73	-0.04	0.58499999999999996	0.78400000000000003	 CLDN4 Low
MYCT1	6q25.2	5.71	5.76	0.65	0.83	-0.05	0.58499999999999996	0.78400000000000003	 CLDN4 Low
LINC00442	13q12.11	0.1	0.08	0.37	0.26	0.02	0.58499999999999996	0.78400000000000003	 CLDN4 High 
ZNF536	19q12	1.03	0.95	1.54	1.2	0.09	0.58499999999999996	0.78400000000000003	 CLDN4 High 
SUGT1P3	13q14.11	5.42	5.36	0.88	0.77	0.05	0.58499999999999996	0.78400000000000003	 CLDN4 High 
LILRA5	19q13.42	3.57	3.65	1.3	1.35	-0.08	0.58499999999999996	0.78400000000000003	 CLDN4 Low
PGP	16p13.3	9.43	9.39	0.68	0.68	0.04	0.58499999999999996	0.78500000000000003	 CLDN4 High 
UTP25	1q32.2	9.94	9.91	0.52	0.54	0.03	0.58499999999999996	0.78500000000000003	 CLDN4 High 
TRIM38	6p22.2	9.66	9.6199999999999992	0.63	0.66	0.04	0.58499999999999996	0.78500000000000003	 CLDN4 High 
CHN2	7p14.3	6.67	6.6	1.26	1.18	0.08	0.58499999999999996	0.78500000000000003	 CLDN4 High 
ARHGAP1	11p11.2	11.63	11.67	0.53	0.56999999999999995	-0.03	0.58499999999999996	0.78500000000000003	 CLDN4 Low
NR3C1	5q31.3	9.81	9.86	0.8	0.89	-0.05	0.58499999999999996	0.78500000000000003	 CLDN4 Low
TRAPPC2B	19q13.43	7.11	7.06	0.63	0.75	0.04	0.58499999999999996	0.78500000000000003	 CLDN4 High 
SASH3	Xq26.1	7.63	7.71	1.31	1.35	-0.08	0.58499999999999996	0.78500000000000003	 CLDN4 Low
FAM13A	4q22.1	8.8800000000000008	8.83	0.87	0.72	0.05	0.58499999999999996	0.78500000000000003	 CLDN4 High 
FAM222A-AS1	12q24.11	1.9	1.98	1.26	1.1200000000000001	-7.0000000000000007E-2	0.58499999999999996	0.78500000000000003	 CLDN4 Low
SLC2A8	9q33.3	8.33	8.2799999999999994	0.67	0.68	0.04	0.58599999999999997	0.78500000000000003	 CLDN4 High 
NDNF	4q27	4.49	4.38	1.63	1.89	0.11	0.58599999999999997	0.78500000000000003	 CLDN4 High 
TFAMP1	7p22.3	1.1599999999999999	1.23	1.19	1.17	-7.0000000000000007E-2	0.58599999999999997	0.78500000000000003	 CLDN4 Low
THAP3	1p36.31	8.1300000000000008	8.09	0.56999999999999995	0.55000000000000004	0.03	0.58599999999999997	0.78500000000000003	 CLDN4 High 
SNORA28	14q32.32	0.1	0.08	0.4	0.25	0.02	0.58599999999999997	0.78500000000000003	 CLDN4 High 
LRP11	6q25.1	8.61	8.5500000000000007	1	0.99	0.06	0.58599999999999997	0.78500000000000003	 CLDN4 High 
CYP2U1	4q25	7.82	7.86	0.78	0.68	-0.05	0.58599999999999997	0.78500000000000003	 CLDN4 Low
CD2BP2	16p11.2	10.18	10.15	0.45	0.43	0.03	0.58599999999999997	0.78500000000000003	 CLDN4 High 
FOXB2	9q21.2	0.6	0.66	0.86	0.88	-0.05	0.58599999999999997	0.78500000000000003	 CLDN4 Low
KCNH2	7q36.1	8.89	8.8000000000000007	1.55	1.24	0.09	0.58599999999999997	0.78500000000000003	 CLDN4 High 
TGFB1	19q13.2	10.3	10.36	0.93	0.96	-0.06	0.58599999999999997	0.78500000000000003	 CLDN4 Low
ZHX3	20q12	8.7100000000000009	8.76	0.77	0.79	-0.05	0.58599999999999997	0.78500000000000003	 CLDN4 Low
ARMT1	6q25.1	9	9.0399999999999991	0.66	0.79	-0.05	0.58699999999999997	0.78500000000000003	 CLDN4 Low
PHF2P1	13q11	0.86	0.75	1.8	1.53	0.1	0.58699999999999997	0.78500000000000003	 CLDN4 High 
DMAC2	19q13.2	10.14	10.1	0.6	0.59	0.04	0.58699999999999997	0.78500000000000003	 CLDN4 High 
UBXN4	2q21.3	11.5	11.53	0.43	0.44	-0.03	0.58699999999999997	0.78500000000000003	 CLDN4 Low
GALT	9p13.3	8.52	8.48	0.67	0.62	0.04	0.58699999999999997	0.78500000000000003	 CLDN4 High 
RBFA	18q23	7.9	7.86	0.56999999999999995	0.7	0.04	0.58699999999999997	0.78500000000000003	 CLDN4 High 
TBX22	Xq21.1	0.46	0.41	0.84	0.78	0.05	0.58699999999999997	0.78500000000000003	 CLDN4 High 
OR10R2	1q23.1	0.01	0	0.05	0.03	0	0.58699999999999997	0.78500000000000003	 CLDN4 High 
ITPRIP	10q25.1	9.34	9.39	0.68	0.67	-0.04	0.58699999999999997	0.78500000000000003	 CLDN4 Low
KCNQ1	11p15.5-p15.4	8.2100000000000009	8.1300000000000008	1.26	1.1399999999999999	7.0000000000000007E-2	0.58699999999999997	0.78600000000000003	 CLDN4 High 
SLC35F4	14q22.3-q23.1	0.52	0.56999999999999995	0.8	0.81	-0.05	0.58699999999999997	0.78600000000000003	 CLDN4 Low
SULT1E1	4q13.3	1.54	1.67	1.84	2.2599999999999998	-0.13	0.58699999999999997	0.78600000000000003	 CLDN4 Low
KCTD12	13q22.3	11.89	11.82	1.06	1.07	7.0000000000000007E-2	0.58699999999999997	0.78600000000000003	 CLDN4 High 
ZMYND12	1p34.2	7	7.07	1.1100000000000001	1.1000000000000001	-7.0000000000000007E-2	0.58799999999999997	0.78600000000000003	 CLDN4 Low
H1-10-AS1	3q21.3	6.02	5.97	0.84	0.84	0.05	0.58799999999999997	0.78600000000000003	 CLDN4 High 
ACKR1	1q23.2	5.45	5.35	1.53	1.97	0.11	0.58799999999999997	0.78600000000000003	 CLDN4 High 
ALKAL2	2p25.3	4.34	4.1900000000000004	2.27	2.3199999999999998	0.14000000000000001	0.58799999999999997	0.78600000000000003	 CLDN4 High 
PTCRA	6p21.1	1.3	1.35	0.88	0.82	-0.05	0.58799999999999997	0.78600000000000003	 CLDN4 Low
C1ORF68	1q21.3	0.01	0.01	0.05	0.15	-0.01	0.58799999999999997	0.78600000000000003	 CLDN4 Low
DNAAF3	19q13.42	7.19	7.11	1.49	1.22	0.08	0.58799999999999997	0.78600000000000003	 CLDN4 High 
HPD	12q24.31	3.93	3.81	2.0499999999999998	2.06	0.13	0.58799999999999997	0.78600000000000003	 CLDN4 High 
LINC00634	22q13.2	2.86	2.8	0.97	0.94	0.06	0.58799999999999997	0.78600000000000003	 CLDN4 High 
PHTF2	7q11.23-q21.11	9.2200000000000006	9.26	0.55000000000000004	0.54	-0.03	0.58799999999999997	0.78600000000000003	 CLDN4 Low
TUBGCP2	10q26.3	10.77	10.8	0.5	0.42	-0.03	0.58799999999999997	0.78600000000000003	 CLDN4 Low
RNF183	9q32	6.25	6.15	1.5	1.69	0.1	0.58799999999999997	0.78700000000000003	 CLDN4 High 
HPX	11p15.4	2.71	2.64	1.1399999999999999	1.1599999999999999	7.0000000000000007E-2	0.58899999999999997	0.78700000000000003	 CLDN4 High 
HNF1A-AS1	12q24.31	0.77	0.67	1.58	1.61	0.1	0.58899999999999997	0.78700000000000003	 CLDN4 High 
RBM47	4p14	11.22	11.17	0.67	0.76	0.04	0.58899999999999997	0.78700000000000003	 CLDN4 High 
FCGR2C	1q23.3	6.31	6.41	1.6	1.62	-0.1	0.58899999999999997	0.78700000000000003	 CLDN4 Low
DTX1	12q24.13	6.68	6.75	1.03	1.21	-7.0000000000000007E-2	0.58899999999999997	0.78700000000000003	 CLDN4 Low
SLFN5	17q12	9.23	9.17	0.82	0.91	0.05	0.58899999999999997	0.78700000000000003	 CLDN4 High 
VPS41	7p14.1	9.86	9.82	0.48	0.51	0.03	0.58899999999999997	0.78700000000000003	 CLDN4 High 
G6PC1	17q21.31	0.1	0.12	0.28999999999999998	0.3	-0.02	0.58899999999999997	0.78700000000000003	 CLDN4 Low
LRRC57	15q15.2	8.01	8.0500000000000007	0.5	0.51	-0.03	0.58899999999999997	0.78700000000000003	 CLDN4 Low
DENND2B	11p15.4	11.16	11.12	0.65	0.59	0.04	0.58899999999999997	0.78700000000000003	 CLDN4 High 
IFNL2	19q13.2	0.45	0.51	0.76	1	-0.06	0.58899999999999997	0.78700000000000003	 CLDN4 Low
PRAME	22q11.22	10.66	10.55	1.53	2.0099999999999998	0.11	0.58899999999999997	0.78700000000000003	 CLDN4 High 
ZNF98	19p12	4.4400000000000004	4.54	1.66	1.63	-0.1	0.59	0.78700000000000003	 CLDN4 Low
ARHGAP24	4q21.23-q21.3	6.24	6.31	1.04	1.1100000000000001	-7.0000000000000007E-2	0.59	0.78700000000000003	 CLDN4 Low
BMT2	7q31.1	8.39	8.43	0.56000000000000005	0.62	-0.04	0.59	0.78700000000000003	 CLDN4 Low
LINC00174	7q11.21	8.06	8.01	0.91	0.95	0.06	0.59	0.78700000000000003	 CLDN4 High 
C3	19p13.3	14.63	14.51	1.76	2	0.12	0.59	0.78700000000000003	 CLDN4 High 
GABPB1-IT1	15q21.2	7.84	7.79	0.81	0.76	0.05	0.59	0.78700000000000003	 CLDN4 High 
RPS28	19p13.2	7.59	7.79	3.21	3.21	-0.2	0.59	0.78700000000000003	 CLDN4 Low
HSPBAP1	3q21.1	7.57	7.54	0.59	0.56000000000000005	0.04	0.59	0.78700000000000003	 CLDN4 High 
RFC4	3q27.3	9.42	9.4700000000000006	0.67	0.78	-0.04	0.59	0.78700000000000003	 CLDN4 Low
ANO5	11p14.3	4.0599999999999996	4.16	1.67	1.72	-0.1	0.59	0.78700000000000003	 CLDN4 Low
CCL8	17q12	6.14	6.04	1.76	1.65	0.1	0.59	0.78800000000000003	 CLDN4 High 
DNAJC5	20q13.33	10.98	10.95	0.56999999999999995	0.54	0.03	0.59	0.78800000000000003	 CLDN4 High 
PLEKHA1	10q26.13	9.7799999999999994	9.81	0.56999999999999995	0.61	-0.04	0.59	0.78800000000000003	 CLDN4 Low
FOXC1	6p25.3	8.4	8.2899999999999991	1.8	1.71	0.11	0.59	0.78800000000000003	 CLDN4 High 
HOXA3	7p15.2	5.67	5.5	2.57	2.71	0.16	0.59099999999999997	0.78800000000000003	 CLDN4 High 
SPPL2C	17q21.31	0.08	0.06	0.26	0.28000000000000003	0.02	0.59099999999999997	0.78800000000000003	 CLDN4 High 
CFAP74	1p36.33	2.16	2.0499999999999998	2.02	1.76	0.12	0.59099999999999997	0.78800000000000003	 CLDN4 High 
B9D2	19q13.2	7.2	7.25	0.77	0.68	-0.04	0.59099999999999997	0.78800000000000003	 CLDN4 Low
DDX39A	19p13.12	10.83	10.77	0.87	0.86	0.05	0.59099999999999997	0.78800000000000003	 CLDN4 High 
BMS1P20	22q11.22	12.02	12.19	2.58	2.83	-0.17	0.59099999999999997	0.78800000000000003	 CLDN4 Low
GPSM3	6p21.32	8.7100000000000009	8.64	1	1.1399999999999999	7.0000000000000007E-2	0.59099999999999997	0.78800000000000003	 CLDN4 High 
OR56A3	11p15.4	0.66	0.74	1.22	1.42	-0.08	0.59099999999999997	0.78800000000000003	 CLDN4 Low
DGCR6	22q11.21	7.66	7.6	0.91	0.91	0.06	0.59099999999999997	0.78800000000000003	 CLDN4 High 
RASAL2	1q25.2	9.15	9.19	0.61	0.63	-0.04	0.59099999999999997	0.78800000000000003	 CLDN4 Low
ZNF687	1q21.3	11.14	11.11	0.51	0.49	0.03	0.59099999999999997	0.78800000000000003	 CLDN4 High 
GALNT14	2p23.1	7.78	7.68	1.57	1.54	0.1	0.59099999999999997	0.78800000000000003	 CLDN4 High 
KLRG2	7q34	5.97	5.86	1.84	1.85	0.11	0.59199999999999997	0.78900000000000003	 CLDN4 High 
PSMG1	21q22.2	9.2799999999999994	9.24	0.56999999999999995	0.67	0.04	0.59199999999999997	0.78900000000000003	 CLDN4 High 
GRM5P1	11p11.12	0.09	0.08	0.26	0.28999999999999998	0.02	0.59199999999999997	0.78900000000000003	 CLDN4 High 
ACTL7B	9q31.3	0.19	0.21	0.32	0.36	-0.02	0.59199999999999997	0.78900000000000003	 CLDN4 Low
APOL3	22q12.3	8.2799999999999994	8.19	1.36	1.46	0.09	0.59199999999999997	0.78900000000000003	 CLDN4 High 
MFSD9	2q12.1	7.34	7.37	0.57999999999999996	0.47	-0.03	0.59199999999999997	0.78900000000000003	 CLDN4 Low
SNORA78	16p13.3	0.3	0.27	0.63	0.52	0.04	0.59199999999999997	0.78900000000000003	 CLDN4 High 
PEG3	19q13.43	6.77	6.92	2.4	2.37	-0.15	0.59199999999999997	0.78900000000000003	 CLDN4 Low
ARMCX1	Xq22.1	7.88	7.94	0.85	0.9	-0.05	0.59199999999999997	0.78900000000000003	 CLDN4 Low
ATP6V0D2	8q21.3	2.4500000000000002	2.5499999999999998	1.62	1.36	-0.09	0.59199999999999997	0.78900000000000003	 CLDN4 Low
OR1I1	19p13.1	0.05	0.04	0.28000000000000003	0.15	0.01	0.59199999999999997	0.78900000000000003	 CLDN4 High 
ADGRE3	19p13.12	0.77	0.84	1.2	1.1499999999999999	-7.0000000000000007E-2	0.59199999999999997	0.78900000000000003	 CLDN4 Low
ELOVL6	4q25	8.89	8.94	0.9	0.83	-0.05	0.59199999999999997	0.78900000000000003	 CLDN4 Low
OXT	20p13	1.35	1.42	1.19	1.19	-7.0000000000000007E-2	0.59199999999999997	0.78900000000000003	 CLDN4 Low
HCCS	Xp22.2	8.98	8.94	0.64	0.63	0.04	0.59199999999999997	0.78900000000000003	 CLDN4 High 
ZNF557	19p13.2	7.64	7.68	0.68	0.65	-0.04	0.59299999999999997	0.78900000000000003	 CLDN4 Low
AEBP1	7p13	12.17	12.27	1.5	1.6	-0.09	0.59299999999999997	0.78900000000000003	 CLDN4 Low
MARK1	1q41	5.81	5.92	1.73	1.86	-0.11	0.59299999999999997	0.79	 CLDN4 Low
BHMT2	5q14.1	3.93	4.05	2.11	1.88	-0.12	0.59299999999999997	0.79	 CLDN4 Low
FBXO47	17q12	0.57999999999999996	0.63	0.69	0.73	-0.04	0.59299999999999997	0.79	 CLDN4 Low
COG4	16q22.1	9.99	9.9600000000000009	0.53	0.53	0.03	0.59299999999999997	0.79	 CLDN4 High 
UGT2B4	4q13.3	0.27	0.31	0.57999999999999996	0.67	-0.04	0.59299999999999997	0.79	 CLDN4 Low
KLF2	19p13.11	8.11	8.18	1.0900000000000001	1.18	-7.0000000000000007E-2	0.59299999999999997	0.79	 CLDN4 Low
IFT20	17q11.2	8.1300000000000008	8.09	0.69	0.59	0.04	0.59399999999999997	0.79	 CLDN4 High 
BCAT2	19q13.33	9.77	9.81	0.57999999999999996	0.68	-0.04	0.59399999999999997	0.79	 CLDN4 Low
N4BP2L1	13q13.1	8.06	8.01	0.89	0.8	0.05	0.59399999999999997	0.79	 CLDN4 High 
CHCHD1	10q22.2	9.2799999999999994	9.24	0.63	0.65	0.04	0.59399999999999997	0.79100000000000004	 CLDN4 High 
CPNE3	8q21.3	11.26	11.29	0.59	0.68	-0.04	0.59399999999999997	0.79100000000000004	 CLDN4 Low
AQP11	11q14.1	5.52	5.58	0.98	0.93	-0.06	0.59399999999999997	0.79100000000000004	 CLDN4 Low
CIAPIN1	16q21	9.81	9.7799999999999994	0.48	0.49	0.03	0.59399999999999997	0.79100000000000004	 CLDN4 High 
HPYR1	8q24.22	0.34	0.37	0.55000000000000004	0.53	-0.03	0.59399999999999997	0.79100000000000004	 CLDN4 Low
TTC30A	2q31.2	8.9700000000000006	8.92	0.83	0.78	0.05	0.59399999999999997	0.79100000000000004	 CLDN4 High 
KIFAP3	1q24.2	9.48	9.4499999999999993	0.44	0.48	0.03	0.59399999999999997	0.79100000000000004	 CLDN4 High 
FAM227B	15q21.2	4.83	4.7699999999999996	1.03	1.02	0.06	0.59399999999999997	0.79100000000000004	 CLDN4 High 
LRRC4B	19q13.33	5.56	5.66	1.46	1.6	-0.09	0.59499999999999997	0.79100000000000004	 CLDN4 Low
CD52	1p36.11	7.78	7.69	1.43	1.52	0.09	0.59499999999999997	0.79100000000000004	 CLDN4 High 
FAM183BP	7p14.1	0.89	0.95	0.97	1	-0.06	0.59499999999999997	0.79100000000000004	 CLDN4 Low
MRPL49	11q13.1	10.91	10.88	0.54	0.5	0.03	0.59499999999999997	0.79100000000000004	 CLDN4 High 
P2RY14	3q25.1	3.24	3.32	1.24	1.23	-7.0000000000000007E-2	0.59499999999999997	0.79100000000000004	 CLDN4 Low
FSD1L	9q31.2	6.04	6.1	0.85	0.92	-0.05	0.59499999999999997	0.79100000000000004	 CLDN4 Low
C12ORF50	12q21.32	0.18	0.21	0.36	0.37	-0.02	0.59499999999999997	0.79100000000000004	 CLDN4 Low
ATG9B	7q36.1	6.56	6.48	1.35	1.21	0.08	0.59499999999999997	0.79100000000000004	 CLDN4 High 
KCNK7	11q13.1	3.12	3.07	0.89	0.82	0.05	0.59499999999999997	0.79200000000000004	 CLDN4 High 
NUP54	4q21.1	9.6	9.57	0.6	0.57999999999999996	0.04	0.59499999999999997	0.79200000000000004	 CLDN4 High 
VSX1	20p11.21	0.76	0.82	1.07	1.08	-7.0000000000000007E-2	0.59499999999999997	0.79200000000000004	 CLDN4 Low
EGFL6	Xp22.2	8.6300000000000008	8.7100000000000009	1.42	1.47	-0.09	0.59599999999999997	0.79200000000000004	 CLDN4 Low
C8A	1p32.2	0.13	0.15	0.36	0.28999999999999998	-0.02	0.59599999999999997	0.79200000000000004	 CLDN4 Low
ADGRL2	1p31.1	10.48	10.4	1.36	1.44	0.09	0.59599999999999997	0.79200000000000004	 CLDN4 High 
SYCP2L	6p24.2	1.8	1.91	1.79	1.85	-0.11	0.59599999999999997	0.79200000000000004	 CLDN4 Low
HSPA1A	6p21.33	12.06	11.99	1.23	1.1599999999999999	7.0000000000000007E-2	0.59599999999999997	0.79200000000000004	 CLDN4 High 
UCKL1-AS1	20q13.33	5.29	5.35	1.03	0.97	-0.06	0.59599999999999997	0.79200000000000004	 CLDN4 Low
C9ORF135	9q21.12	2.85	2.98	2.25	2	-0.13	0.59599999999999997	0.79200000000000004	 CLDN4 Low
SPAG1	8q22.2	7.96	7.89	1.07	1.07	0.06	0.59599999999999997	0.79200000000000004	 CLDN4 High 
IL6R	1q21.3	9	9.07	1.05	1.2	-7.0000000000000007E-2	0.59599999999999997	0.79200000000000004	 CLDN4 Low
CASP7	10q25.3	9.08	9.0399999999999991	0.65	0.6	0.04	0.59599999999999997	0.79200000000000004	 CLDN4 High 
GPATCH4	1q22-q23.1	9.14	9.17	0.54	0.51	-0.03	0.59699999999999998	0.79200000000000004	 CLDN4 Low
ATOH1	4q22.2	0.08	0.1	0.45	0.49	-0.03	0.59699999999999998	0.79200000000000004	 CLDN4 Low
PPDPFL	8q11.21	0.06	0.04	0.24	0.25	0.01	0.59699999999999998	0.79300000000000004	 CLDN4 High 
FAM131A	3q27.1	8.99	8.9600000000000009	0.56999999999999995	0.57999999999999996	0.03	0.59699999999999998	0.79300000000000004	 CLDN4 High 
FAM83C	20q11.22	0.94	0.87	1.0900000000000001	1.1200000000000001	7.0000000000000007E-2	0.59699999999999998	0.79300000000000004	 CLDN4 High 
FCN1	9q34.3	5.44	5.54	1.63	1.7	-0.1	0.59699999999999998	0.79300000000000004	 CLDN4 Low
LHFPL5	6p21.31	1.37	1.47	1.44	1.63	-0.09	0.59699999999999998	0.79300000000000004	 CLDN4 Low
SELENOV	19q13.2	1.86	1.74	2.21	1.79	0.12	0.59699999999999998	0.79300000000000004	 CLDN4 High 
PCDHGB2	5q31	5.44	5.54	1.85	1.67	-0.11	0.59699999999999998	0.79300000000000004	 CLDN4 Low
NT5E	6q14.3	8.48	8.3800000000000008	1.7	1.75	0.1	0.59699999999999998	0.79300000000000004	 CLDN4 High 
LINC00301	11q12.2	0.03	0.05	0.25	0.45	-0.02	0.59699999999999998	0.79300000000000004	 CLDN4 Low
