gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
RCSD1	1q24.2	6.73	6.93	0.99	1.05	-0.2	0.0875	0.287	CLDN4 Low
ADH1A	4q23	0.12	0.19	0.3	0.39	-0.07	0.0875	0.287	CLDN4 Low
UCP3	11q13.4	4.81	5	0.93	0.97	-0.19	0.0875	0.287	CLDN4 Low
KRTAP5-7	11q13.4	0.66	0.79	0.68	0.68	-0.13	0.0875	0.287	CLDN4 Low
TERT	5p15.33	3.11	3.44	1.55	1.79	-0.33	0.0875	0.287	CLDN4 Low
PRAC1	17q21.32	0.03	0.1	0.16	0.46	-0.07	0.0875	0.287	CLDN4 Low
SND1-IT1	7q32.1	4.45	4.64	0.94	1.01	-0.19	0.0876	0.287	CLDN4 Low
ILF3	19p13.2	12.77	12.88	0.53	0.6	-0.11	0.0876	0.287	CLDN4 Low
TUSC2	3p21.31	9.68	9.57	0.49	0.54	0.1	0.0876	0.287	CLDN4 High
ZFYVE19	15q15.1	8.89	8.75	0.7	0.69	0.14	0.0876	0.287	CLDN4 High
NUPR1	16p11.2	10.46	10.23	1.19	1.13	0.23	0.0876	0.287	CLDN4 High
LGALS7B	19q13.2	3.59	3.11	2.57	2.3	0.48	0.0876	0.287	CLDN4 High
MORN5	9q33.2	3.61	3.17	2.29	2.19	0.44	0.0877	0.287	CLDN4 High
PRRT2	16p11.2	6.05	6.31	1.36	1.22	-0.25	0.0877	0.287	CLDN4 Low
SMCHD1	18p11.32	9.74	9.86	0.48	0.65	-0.11	0.0877	0.287	CLDN4 Low
AGAP6	10q11.23	7.13	7.29	0.85	0.77	-0.16	0.0878	0.287	CLDN4 Low
RBBP5	1q32.1	8.87	8.97	0.49	0.46	-0.09	0.0878	0.287	CLDN4 Low
PPP1CB	2p23.2	12.98	12.88	0.5	0.5	0.1	0.0878	0.287	CLDN4 High
MAPT	17q21.31	5.09	5.4	1.51	1.6	-0.3	0.0879	0.287	CLDN4 Low
MLLT3	9p21.3	7.56	7.79	1.27	1.11	-0.23	0.0879	0.287	CLDN4 Low
LCE3D	1q21.3	0.04	0.13	0.21	0.6	-0.09	0.0879	0.287	CLDN4 Low
KCNT2	1q31.3	4.38	4.71	1.72	1.76	-0.34	0.0879	0.287	CLDN4 Low
CLASP1	2q14.2-q14.3	10.32	10.44	0.62	0.57	-0.12	0.088	0.287	CLDN4 Low
VCP	9p13.3	12.32	12.41	0.5	0.48	-0.1	0.088	0.287	CLDN4 Low
LRRC10B	11q12.2	5.78	5.42	1.96	1.7	0.36	0.0881	0.288	CLDN4 High
ZSWIM1	20q13.12	8.87	8.78	0.45	0.44	0.09	0.0881	0.288	CLDN4 High
SLC14A2	18q12.3	1.53	1.91	1.78	2.1	-0.38	0.0882	0.288	CLDN4 Low
HELQ	4q21.23	7.7	7.6	0.55	0.48	0.1	0.0882	0.288	CLDN4 High
NCR1	19q13.42	0.8	0.97	0.85	0.9	-0.17	0.0882	0.288	CLDN4 Low
FAM225B	9q32	5.11	5.37	1.23	1.38	-0.26	0.0882	0.288	CLDN4 Low
ZNF224	19q13.31	6.24	6.43	1.04	0.84	-0.18	0.0883	0.288	CLDN4 Low
SNORA36A	Xq28	0.05	0.02	0.17	0.11	0.03	0.0883	0.288	CLDN4 High
POM121L9P	22q11.23	2.67	2.92	1.32	1.26	-0.25	0.0883	0.288	CLDN4 Low
ASMTL-AS1	Xp22.33 and Yp11.32	5.65	5.91	1.38	1.2	-0.25	0.0883	0.288	CLDN4 Low
PCDHA13	5q31.3	2.68	3.05	1.9	1.9	-0.37	0.0883	0.288	CLDN4 Low
CLNK	4p16.1	0.39	0.52	0.62	0.68	-0.13	0.0884	0.288	CLDN4 Low
TAS2R3	7q34	0.69	0.84	0.75	0.81	-0.15	0.0884	0.288	CLDN4 Low
PROP1	5q35.3	0.34	0.45	0.52	0.64	-0.11	0.0884	0.288	CLDN4 Low
PVALEF	17q25.3	0.43	0.55	0.63	0.65	-0.12	0.0884	0.288	CLDN4 Low
SDAD1	4q21.1	9.77	9.66	0.62	0.54	0.11	0.0885	0.288	CLDN4 High
ZSCAN9	6p22.1	7.38	7.5	0.64	0.64	-0.12	0.0886	0.288	CLDN4 Low
RPP38	10p13	9.33	9.23	0.46	0.54	0.1	0.0886	0.288	CLDN4 High
CDK5RAP1	20q11.21	8.89	8.81	0.48	0.39	0.09	0.0886	0.288	CLDN4 High
KIF20B	10q23.31	8.46	8.6	0.71	0.75	-0.14	0.0886	0.288	CLDN4 Low
GSTA1	6p12.2	4.09	4.57	2.24	2.63	-0.48	0.0886	0.288	CLDN4 Low
RAPGEF3	12q13.11	10.25	10.01	1.2	1.34	0.25	0.0886	0.288	CLDN4 High
DCTN5	16p12.2	10.14	10.24	0.48	0.47	-0.09	0.0886	0.288	CLDN4 Low
PREB	2p23.3	10.47	10.38	0.47	0.49	0.09	0.0887	0.288	CLDN4 High
FNBP1L	1p22.1	10.6	10.72	0.58	0.65	-0.12	0.0887	0.288	CLDN4 Low
RPA4	Xq21.33	1.47	1.64	0.84	0.87	-0.17	0.0888	0.288	CLDN4 Low
NOTCH4	6p21.32	7.9	8.03	0.66	0.67	-0.13	0.0888	0.288	CLDN4 Low
RAB36	22q11.23	8.47	8.68	1.05	1.13	-0.21	0.0888	0.288	CLDN4 Low
SHANK3	22q13.33	8.97	9.1	0.65	0.74	-0.14	0.0888	0.288	CLDN4 Low
MAGED4	Xp11.22	4.4	3.96	2.15	2.29	0.43	0.0888	0.288	CLDN4 High
MAPK6	15q21.2	9.67	9.78	0.59	0.54	-0.11	0.0889	0.289	CLDN4 Low
ZNF485	10q11.21	6.45	6.59	0.73	0.72	-0.14	0.0889	0.289	CLDN4 Low
MIR124-1HG	8p23.1	0.1	0.17	0.28	0.4	-0.07	0.0889	0.289	CLDN4 Low
ZNF30	19q13.13	6.12	6.27	0.78	0.72	-0.15	0.0889	0.289	CLDN4 Low
TMEM98	17q11.2	10.18	10.35	0.88	0.93	-0.18	0.0889	0.289	CLDN4 Low
INHBC	12q13.3	2.39	2.6	1.14	1.09	-0.22	0.0889	0.289	CLDN4 Low
CYSLTR1	Xq21.1	4.06	4.34	1.39	1.49	-0.28	0.0889	0.289	CLDN4 Low
RPS2P32	7p15.3	5.71	5.44	1.34	1.49	0.28	0.089	0.289	CLDN4 High
CCDC85B	11q13.1	9.9	9.75	0.8	0.74	0.15	0.089	0.289	CLDN4 High
ZXDC	3q21.3	10.24	10.32	0.44	0.39	-0.08	0.089	0.289	CLDN4 Low
SLC16A10	6q21	5.36	5.61	1.3	1.22	-0.25	0.0891	0.289	CLDN4 Low
NPY5R	4q32.2	0.37	0.55	0.88	0.94	-0.18	0.0891	0.289	CLDN4 Low
PPP1R11	6p22.1	11.36	11.27	0.48	0.46	0.09	0.0891	0.289	CLDN4 High
WDR27	6q27	7.07	7.26	0.98	0.96	-0.19	0.0891	0.289	CLDN4 Low
TAB3	Xp21.2	9.19	9.31	0.54	0.64	-0.12	0.0892	0.289	CLDN4 Low
PC	11q13.2	8.49	8.63	0.72	0.72	-0.14	0.0892	0.289	CLDN4 Low
SLC9A9	3q24	6.19	6.42	1.11	1.25	-0.23	0.0892	0.289	CLDN4 Low
DNASE1	16p13.3	6.24	6.42	0.89	0.93	-0.18	0.0892	0.289	CLDN4 Low
FTL	19q13.33	15.43	15.29	0.76	0.72	0.14	0.0892	0.289	CLDN4 High
MED23	6q23.2	9.25	9.35	0.54	0.57	-0.11	0.0892	0.289	CLDN4 Low
PSMD9	12q24.31	9.62	9.53	0.46	0.45	0.09	0.0893	0.289	CLDN4 High
F2	11p11.2	0.35	0.5	0.63	0.88	-0.15	0.0893	0.289	CLDN4 Low
ZFR2	19p13.3	3.83	3.31	2.76	2.6	0.52	0.0893	0.289	CLDN4 High
LINC00303	1q32.1	0.75	0.95	0.97	1.07	-0.2	0.0893	0.289	CLDN4 Low
LCN15	9q34.3	0.1	0.21	0.28	0.72	-0.11	0.0893	0.289	CLDN4 Low
IFI30	19p13.11	11.61	11.39	1.11	1.14	0.22	0.0894	0.289	CLDN4 High
WDR5	9q34.2	9.9	9.99	0.48	0.47	-0.09	0.0894	0.289	CLDN4 Low
MEG8	14q32.31	0.3	0.43	0.5	0.8	-0.13	0.0895	0.289	CLDN4 Low
SCN8A	12q13.13	5.9	6.13	1.2	1.21	-0.23	0.0895	0.289	CLDN4 Low
VIRMA	8q22.1	10.4	10.5	0.49	0.47	-0.09	0.0896	0.29	CLDN4 Low
LOXL2	8p21.3	9.38	9.59	1.11	1.11	-0.22	0.0896	0.29	CLDN4 Low
IQCF3	3p21.2	0.12	0.06	0.35	0.24	0.06	0.0896	0.29	CLDN4 High
METTL21A	2q33.3	8.39	8.27	0.63	0.63	0.12	0.0896	0.29	CLDN4 High
SNORA7B	3q21.3	4.07	3.87	1.13	0.97	0.2	0.0896	0.29	CLDN4 High
TMEM232	5q22.1	3.5	3.17	1.82	1.61	0.33	0.0897	0.29	CLDN4 High
PROSER3	19q13.12	7.8	7.96	0.86	0.77	-0.16	0.0897	0.29	CLDN4 Low
AHR	7p21.1	10.88	10.72	0.86	0.85	0.17	0.0897	0.29	CLDN4 High
AMZ1	7p22.3	3.26	3.51	1.27	1.27	-0.25	0.0897	0.29	CLDN4 Low
ABHD12B	14q22.1	2.23	2.49	1.12	1.5	-0.26	0.0898	0.29	CLDN4 Low
SNX1	15q22.31	10.78	10.87	0.44	0.48	-0.09	0.0898	0.29	CLDN4 Low
RO60	1q31.2	9.76	9.85	0.45	0.47	-0.09	0.0898	0.29	CLDN4 Low
RNASE8	14q11.2	0.06	0.1	0.19	0.25	-0.04	0.0899	0.29	CLDN4 Low
MBD3L2	19p13.2	0.09	0.01	0.53	0.1	0.07	0.09	0.29	CLDN4 High
VKORC1	16p11.2	10.78	10.66	0.64	0.59	0.12	0.09	0.29	CLDN4 High
HNRNPCL2	1p36.21	0.38	0.49	0.51	0.6	-0.11	0.0901	0.29	CLDN4 Low
FAM223B	Xq28	1.52	1.68	0.84	0.82	-0.16	0.0901	0.291	CLDN4 Low
RAET1L	6q25.1	0.89	0.71	1.06	0.85	0.19	0.0902	0.291	CLDN4 High
SLC37A3	7q34	9.74	9.63	0.51	0.61	0.11	0.0902	0.291	CLDN4 High
SIGLEC1	20p13	8.71	8.99	1.43	1.38	-0.27	0.0902	0.291	CLDN4 Low
NXN	17p13.3	10.92	11.09	0.9	0.86	-0.17	0.0902	0.291	CLDN4 Low
MDM1	12q15	8.02	8.15	0.69	0.68	-0.13	0.0902	0.291	CLDN4 Low
RHOQ	2p21	10.49	10.61	0.59	0.62	-0.12	0.0902	0.291	CLDN4 Low
PRR5L	11p13-p12	8.11	8.29	0.86	0.99	-0.18	0.0903	0.291	CLDN4 Low
PIGL	17p11.2	6.02	6.15	0.61	0.68	-0.13	0.0903	0.291	CLDN4 Low
GABPA	21q21.3	9.38	9.47	0.48	0.5	-0.1	0.0904	0.291	CLDN4 Low
NOP16	5q35.2	8.45	8.32	0.68	0.64	0.13	0.0904	0.291	CLDN4 High
VAMP1	12p13.31	7.72	7.89	0.9	0.83	-0.17	0.0904	0.291	CLDN4 Low
SOSTDC1	7p21.2	5.59	6.11	2.5	2.84	-0.52	0.0904	0.291	CLDN4 Low
TGDS	13q32.1	8.26	8.14	0.67	0.56	0.12	0.0904	0.291	CLDN4 High
EDDM3A	14q11.2	0.24	0.35	0.55	0.64	-0.12	0.0904	0.291	CLDN4 Low
IGLL1	22q11.23	0.21	0.3	0.4	0.52	-0.09	0.0904	0.291	CLDN4 Low
MED6	14q24.2	8.73	8.82	0.47	0.51	-0.1	0.0904	0.291	CLDN4 Low
SRFBP1	5q23.1	7.62	7.71	0.49	0.47	-0.09	0.0905	0.291	CLDN4 Low
ECEL1	2q37.1	5.83	6.28	2.43	2.21	-0.45	0.0905	0.291	CLDN4 Low
PLD6	17p11.2	6.72	6.86	0.7	0.67	-0.13	0.0906	0.291	CLDN4 Low
TIMM44	19p13.2	9.48	9.35	0.66	0.64	0.13	0.0906	0.291	CLDN4 High
CHN1	2q31.1	8.13	8.34	1.09	1.07	-0.21	0.0907	0.291	CLDN4 Low
SAMD8	10q22.2	6.11	6.22	0.59	0.57	-0.11	0.0907	0.291	CLDN4 Low
LINC00606	3p25.3	0.06	0.03	0.23	0.15	0.04	0.0907	0.291	CLDN4 High
POLR2F	22q13.1	9.82	9.69	0.65	0.67	0.13	0.0907	0.291	CLDN4 High
WIF1	12q14.3	1.13	1.52	1.7	2.22	-0.38	0.0907	0.291	CLDN4 Low
ZNF354A	5q35.3	8.32	8.44	0.59	0.55	-0.11	0.0907	0.291	CLDN4 Low
CENPO	2p23.3	7.43	7.58	0.77	0.75	-0.15	0.0908	0.291	CLDN4 Low
MSC	8q13.3	6.09	6.43	1.7	1.82	-0.34	0.0908	0.291	CLDN4 Low
SLITRK1	13q31.1	0.5	0.7	0.95	1.1	-0.2	0.091	0.292	CLDN4 Low
ABCC6P2	16p13.11	3.97	3.71	1.34	1.4	0.27	0.091	0.292	CLDN4 High
ADAM15	1q21.3	11.6	11.47	0.63	0.64	0.12	0.091	0.292	CLDN4 High
TANC2	17q23.2-q23.3	9.55	9.73	0.89	0.92	-0.18	0.0911	0.292	CLDN4 Low
DTNA	18q12.1	6.85	7.21	1.87	1.86	-0.36	0.0911	0.292	CLDN4 Low
INA	10q24.33	5.71	6.15	2.29	2.25	-0.44	0.0911	0.292	CLDN4 Low
CDK3	17q25.1	7.1	7.27	0.95	0.83	-0.17	0.0912	0.292	CLDN4 Low
PSMA7	20q13.33	11.66	11.54	0.6	0.6	0.12	0.0913	0.292	CLDN4 High
ZFP3	17p13.2	8.34	8.48	0.73	0.67	-0.14	0.0913	0.292	CLDN4 Low
KCTD2	17q25.1	9.92	10.01	0.47	0.45	-0.09	0.0913	0.292	CLDN4 Low
RNASE7	14q11.2	0.76	0.94	0.83	1.03	-0.18	0.0913	0.292	CLDN4 Low
CXCR4	2q22.1	11.06	11.26	1.04	1.05	-0.2	0.0913	0.292	CLDN4 Low
TAPBPL	12p13.31	10.07	9.86	1.11	1.05	0.21	0.0914	0.292	CLDN4 High
SERPINB1	6p25.2	10.08	9.91	0.89	0.82	0.17	0.0914	0.292	CLDN4 High
MAGEB1	Xp21.2	0.41	0.67	1.13	1.51	-0.26	0.0914	0.293	CLDN4 Low
MPP1	Xq28	8.16	8.33	0.81	0.9	-0.17	0.0914	0.293	CLDN4 Low
MINDY2	15q21.3-q22.1	7.46	7.6	0.71	0.76	-0.14	0.0915	0.293	CLDN4 Low
LRP10	14q11.2	12.59	12.46	0.62	0.67	0.12	0.0915	0.293	CLDN4 High
C16ORF78	16q12.1	0.01	0.03	0.07	0.11	-0.02	0.0915	0.293	CLDN4 Low
TRPV5	7q34	0.36	0.47	0.57	0.63	-0.12	0.0915	0.293	CLDN4 Low
PRR16	5q23.1	4.62	4.33	1.45	1.57	0.29	0.0916	0.293	CLDN4 High
ZNF527	19q13.12	6.62	6.75	0.65	0.68	-0.13	0.0916	0.293	CLDN4 Low
CCDC66	3p14.3	7.51	7.62	0.63	0.56	-0.11	0.0916	0.293	CLDN4 Low
C2ORF50	2p25.1	5.02	4.75	1.44	1.36	0.27	0.0916	0.293	CLDN4 High
NANS	9q22.33	9.33	9.22	0.58	0.58	0.11	0.0916	0.293	CLDN4 High
IL9	5q31.1	0	0.02	0.03	0.09	-0.01	0.0917	0.293	CLDN4 Low
REXO4	9q34.2	8.92	9.02	0.48	0.47	-0.09	0.0917	0.293	CLDN4 Low
CCL16	17q12	0.11	0.18	0.27	0.43	-0.07	0.0917	0.293	CLDN4 Low
TGM3	20p13	2.42	2.12	1.64	1.46	0.3	0.0918	0.293	CLDN4 High
DLEU2L	1p31.3	1.88	2.04	0.81	0.89	-0.16	0.0918	0.293	CLDN4 Low
SUFU	10q24.32	9.48	9.59	0.59	0.57	-0.11	0.0918	0.293	CLDN4 Low
NEUROD6	7p14.3	0.03	0.01	0.17	0.04	0.02	0.0918	0.293	CLDN4 High
SPOCK3	4q32.3	3.57	4.06	2.31	2.69	-0.48	0.0918	0.293	CLDN4 Low
LUC7L	16p13.3	8.98	9.12	0.73	0.71	-0.14	0.0919	0.293	CLDN4 Low
SNHG17	20q11.23	9.19	9.04	0.75	0.79	0.15	0.0919	0.293	CLDN4 High
P2RX1	17p13.2	3.26	3.57	1.43	1.76	-0.31	0.092	0.293	CLDN4 Low
DDT	22q11.23	9.88	9.69	0.96	0.95	0.18	0.092	0.293	CLDN4 High
MYLK4	6p25.2	4.7	4.9	1.03	0.99	-0.2	0.092	0.293	CLDN4 Low
SPATA24	5q31.2	5.86	5.69	0.91	0.78	0.16	0.092	0.293	CLDN4 High
PITPNB	22q12.1	10.19	10.29	0.55	0.51	-0.1	0.0921	0.293	CLDN4 Low
CHRNA10	11p15.4	3.54	3.71	0.98	0.77	-0.17	0.0921	0.293	CLDN4 Low
DHH	12q13.12	1.65	1.84	0.91	1.06	-0.19	0.0921	0.293	CLDN4 Low
CTPS2	Xp22.2	9.32	9.44	0.63	0.66	-0.12	0.0921	0.293	CLDN4 Low
DECR1	8q21.3	9.52	9.39	0.65	0.67	0.13	0.0921	0.293	CLDN4 High
FRAT2	10q24.1	9.51	9.39	0.6	0.63	0.12	0.0921	0.293	CLDN4 High
SUZ12P1	17q11.2	6.94	7.06	0.61	0.58	-0.12	0.0922	0.293	CLDN4 Low
NOMO2	16p12.3	10.95	11.09	0.73	0.69	-0.14	0.0922	0.293	CLDN4 Low
ELOA3P	18q21.1	1.84	2.1	1.33	1.33	-0.26	0.0922	0.293	CLDN4 Low
PKIG	20q13.12	9.78	9.64	0.68	0.72	0.13	0.0922	0.294	CLDN4 High
AKR1C8P	10p15.1	0.29	0.45	0.68	0.93	-0.16	0.0924	0.294	CLDN4 Low
CLIP3	19q13.12	9.93	10.17	1.22	1.22	-0.24	0.0924	0.294	CLDN4 Low
SERPINB12	18q21.33	0.22	0.38	0.67	0.95	-0.16	0.0924	0.294	CLDN4 Low
DDX10	11q22.3	9.07	9.17	0.55	0.58	-0.11	0.0925	0.294	CLDN4 Low
IQCD	12q24.13	6.53	6.34	1	0.89	0.18	0.0925	0.294	CLDN4 High
ATAD3B	1p36.33	7.78	7.94	0.82	0.83	-0.16	0.0925	0.294	CLDN4 Low
COL26A1	7q22.1	6.45	6.93	2.51	2.46	-0.48	0.0925	0.294	CLDN4 Low
TOB2P1	6p22.1	5.06	5.3	1.18	1.27	-0.24	0.0925	0.294	CLDN4 Low
VRK1	14q32.2	8.42	8.54	0.64	0.65	-0.12	0.0926	0.294	CLDN4 Low
ENAM	4q13.3	0.74	0.95	1.09	1.17	-0.22	0.0926	0.294	CLDN4 Low
HSF2	6q22.31	8.1	8.22	0.64	0.65	-0.12	0.0926	0.294	CLDN4 Low
PEX19	1q23.2	11.35	11.26	0.49	0.51	0.1	0.0927	0.294	CLDN4 High
IPO5	13q32.2	11.66	11.77	0.58	0.64	-0.12	0.0927	0.294	CLDN4 Low
ANKRD13B	17q11.2	7.13	7.34	1.01	1.16	-0.21	0.0927	0.294	CLDN4 Low
COX10	17p12	8.46	8.55	0.43	0.46	-0.09	0.0927	0.294	CLDN4 Low
RBMS2	12q13.3	10.32	10.44	0.68	0.6	-0.12	0.0928	0.294	CLDN4 Low
USP48	1p36.12	9.96	10.06	0.53	0.47	-0.1	0.0928	0.294	CLDN4 Low
RTP3	3p21.31	0.46	0.26	1.28	0.73	0.2	0.0928	0.294	CLDN4 High
EFCAB14	1p33	11.76	11.87	0.57	0.54	-0.11	0.0928	0.294	CLDN4 Low
LINC00298	2p25.1	0.09	0.16	0.26	0.41	-0.07	0.0928	0.294	CLDN4 Low
TMEM212	3q26.31	1.35	1.02	1.85	1.52	0.33	0.0929	0.294	CLDN4 High
C8ORF74	8p23.1	0.06	0.02	0.23	0.13	0.04	0.0929	0.294	CLDN4 High
ZNF568	19q13.12	6.78	6.92	0.78	0.74	-0.15	0.0929	0.295	CLDN4 Low
SLC35G1	10q23.33	6.41	6.57	0.87	0.84	-0.16	0.0929	0.295	CLDN4 Low
SEMA3E	7q21.11	5.37	5.93	2.96	2.83	-0.56	0.0929	0.295	CLDN4 Low
IQCF5	3p21.2	0.04	0.02	0.16	0.08	0.02	0.093	0.295	CLDN4 High
SLC6A17	1p13.3	3.04	3.33	1.52	1.51	-0.29	0.0931	0.295	CLDN4 Low
SP9	2q31.1	0.37	0.59	0.94	1.26	-0.21	0.0931	0.295	CLDN4 Low
ARHGEF3	3p14.3	10.23	10.39	0.8	0.88	-0.16	0.0931	0.295	CLDN4 Low
GKAP1	9q21.32	6.7	6.85	0.8	0.77	-0.15	0.0932	0.295	CLDN4 Low
LINC00710	10p14	0.01	0.03	0.05	0.2	-0.03	0.0932	0.295	CLDN4 Low
CCDC117	22q12.1	9.68	9.79	0.55	0.6	-0.11	0.0932	0.295	CLDN4 Low
TXN	9q31.3	10.86	10.72	0.77	0.7	0.14	0.0932	0.295	CLDN4 High
ACBD4	17q21.31	8.04	7.92	0.67	0.66	0.13	0.0933	0.295	CLDN4 High
ANKRD30BP2	21q11.2	0.13	0.21	0.31	0.49	-0.08	0.0933	0.295	CLDN4 Low
CT47B1	Xq24	0.04	0.1	0.16	0.45	-0.06	0.0933	0.295	CLDN4 Low
ZBTB34	9q33.3	8.11	8.23	0.66	0.58	-0.12	0.0934	0.295	CLDN4 Low
SNORA71B	20q11.23	0.47	0.35	0.73	0.5	0.12	0.0934	0.295	CLDN4 High
CFAP36	2p16.1	9.66	9.79	0.63	0.69	-0.13	0.0934	0.295	CLDN4 Low
PTPN6	12p13.31	10.12	10.02	0.54	0.53	0.1	0.0935	0.296	CLDN4 High
SDSL	12q24.13	8.15	8	0.75	0.78	0.15	0.0935	0.296	CLDN4 High
CHORDC1P4	18p11.31	3.77	3.9	0.69	0.65	-0.13	0.0935	0.296	CLDN4 Low
CHD6	20q12	10.53	10.66	0.65	0.65	-0.13	0.0935	0.296	CLDN4 Low
RAI1	17p11.2	10.72	10.85	0.68	0.65	-0.13	0.0936	0.296	CLDN4 Low
DSTYK	1q32.1	9.27	9.38	0.6	0.62	-0.12	0.0936	0.296	CLDN4 Low
TUB	11p15.4	7.64	7.88	1.31	1.15	-0.24	0.0936	0.296	CLDN4 Low
ARFGEF2	20q13.13	10.32	10.42	0.5	0.52	-0.1	0.0936	0.296	CLDN4 Low
GTF2IRD2B	7q11.23	7.33	7.17	0.77	0.83	0.15	0.0937	0.296	CLDN4 High
SMAD6	15q22.31	9.26	9.43	0.93	0.85	-0.17	0.0937	0.296	CLDN4 Low
FGD5	3p25.1	8.31	8.57	1.31	1.39	-0.26	0.0937	0.296	CLDN4 Low
CHMP3	2p11.2	11.51	11.43	0.39	0.4	0.08	0.0937	0.296	CLDN4 High
TNFSF14	19p13.3	3.1	3.43	1.58	1.8	-0.32	0.0937	0.296	CLDN4 Low
RNU4ATAC	2q14.2	0.42	0.31	0.67	0.46	0.11	0.0937	0.296	CLDN4 High
ERVFRD-1	6p24.2	1.03	1.19	0.76	0.86	-0.16	0.0938	0.296	CLDN4 Low
CLK4	5q35.3	7.89	8.02	0.69	0.62	-0.13	0.0938	0.296	CLDN4 Low
SCARNA21	17p13.1	0.41	0.31	0.65	0.43	0.11	0.0939	0.296	CLDN4 High
ETV3	1q23.1	7.61	7.72	0.61	0.5	-0.11	0.0939	0.296	CLDN4 Low
STARD3NL	7p14-p13	9.6	9.48	0.64	0.59	0.12	0.0939	0.296	CLDN4 High
CNGB3	8q21.3	1.88	2.24	1.86	1.95	-0.36	0.094	0.296	CLDN4 Low
PARP16	15q22.31	8.01	8.12	0.57	0.56	-0.11	0.0941	0.297	CLDN4 Low
PRKAG2	7q36.1	9.4	9.27	0.66	0.7	0.13	0.0943	0.297	CLDN4 High
PRPF40A	2q23.3	11.08	11.15	0.38	0.39	-0.07	0.0943	0.297	CLDN4 Low
CEP55	10q23.33	9.22	9.4	1	0.9	-0.18	0.0943	0.297	CLDN4 Low
DNAJB11	3q27.3	10.7	10.59	0.57	0.59	0.11	0.0944	0.297	CLDN4 High
CYYR1	21q21.3	7.99	8.31	1.59	1.71	-0.32	0.0944	0.297	CLDN4 Low
DUSP16	12p13.2	9.95	10.1	0.78	0.78	-0.15	0.0944	0.297	CLDN4 Low
ADAM20	14q24.2	0.99	1.13	0.69	0.76	-0.14	0.0944	0.297	CLDN4 Low
CLCA4	1p22.3	0.45	0.3	0.95	0.51	0.15	0.0945	0.297	CLDN4 High
NUMA1	11q13.4	13.07	13.2	0.68	0.63	-0.13	0.0945	0.297	CLDN4 Low
RETREG3	17q21.2	9.95	10.03	0.38	0.4	-0.08	0.0945	0.297	CLDN4 Low
IFNL1	19q13.2	1.58	1.31	1.48	1.35	0.27	0.0945	0.297	CLDN4 High
ARCN1	11q23.3	12.05	12.14	0.48	0.48	-0.09	0.0946	0.298	CLDN4 Low
FOXO4	Xq13.1	8.9	9.03	0.7	0.64	-0.13	0.0947	0.298	CLDN4 Low
TNK1	17p13.1	8.16	8.03	0.58	0.78	0.13	0.0947	0.298	CLDN4 High
TPD52	8q21.13	11.14	11.01	0.62	0.66	0.12	0.0947	0.298	CLDN4 High
HMCN1	1q25.3-q31.1	7.85	8.11	1.29	1.47	-0.26	0.0947	0.298	CLDN4 Low
FBXO10	9p13.2	7.56	7.69	0.65	0.69	-0.13	0.0948	0.298	CLDN4 Low
PIF1	15q22.31	6.67	6.89	1.22	1.03	-0.22	0.0948	0.298	CLDN4 Low
LRRTM4	2p12	2.43	2.87	2.28	2.29	-0.44	0.0949	0.298	CLDN4 Low
GNGT1	7q21.3	3.03	2.74	1.53	1.46	0.29	0.095	0.298	CLDN4 High
EID3	12q23.3	5.11	5.28	0.81	0.91	-0.16	0.095	0.298	CLDN4 Low
SOST	17q21.31	2.58	2.96	1.99	1.95	-0.38	0.0951	0.298	CLDN4 Low
PDPR	16q22.1	9.72	9.88	0.87	0.8	-0.16	0.0951	0.298	CLDN4 Low
ZFAT-AS1	8q24.22	0.54	0.64	0.55	0.57	-0.11	0.0951	0.298	CLDN4 Low
ZNF182	Xp11.23	7.31	7.43	0.67	0.51	-0.11	0.0951	0.298	CLDN4 Low
TBC1D31	8q24.13	7.68	7.83	0.74	0.76	-0.14	0.0951	0.298	CLDN4 Low
FSCN2	17q25.3	4.4	4.63	1.3	1.09	-0.23	0.0952	0.299	CLDN4 Low
JAM3	11q25	7.88	8.08	0.98	1.04	-0.19	0.0952	0.299	CLDN4 Low
ZNF436-AS1	1p36.12	5.93	6.11	0.95	0.98	-0.18	0.0952	0.299	CLDN4 Low
CCDC97	19q13.2	10.25	10.35	0.57	0.54	-0.11	0.0952	0.299	CLDN4 Low
NEDD1	12q23.1	8.79	8.88	0.52	0.48	-0.1	0.0952	0.299	CLDN4 Low
METTL21C	13q33.1	0.56	0.43	0.76	0.59	0.13	0.0953	0.299	CLDN4 High
RELA	11q13.1	11.82	11.74	0.41	0.38	0.08	0.0953	0.299	CLDN4 High
COA3	17q21.2	10.05	9.92	0.74	0.67	0.13	0.0953	0.299	CLDN4 High
CPEB3	10q23.32	7.07	7.22	0.77	0.79	-0.15	0.0954	0.299	CLDN4 Low
HES6	2q37.3	8.01	7.77	1.25	1.2	0.23	0.0954	0.299	CLDN4 High
GCA	2q24.2	9.31	9.2	0.53	0.63	0.11	0.0954	0.299	CLDN4 High
BTNL3	5q35.3	0.62	0.84	1.04	1.18	-0.21	0.0955	0.299	CLDN4 Low
POLR1G	19q13.32	8.83	8.93	0.57	0.53	-0.1	0.0955	0.299	CLDN4 Low
