accession	uid	queries	title	taxon	gdstype	n_samples	gpl	pubmed	pdat
GSE329205	200329205	dna_repair	EZH2 inhibition reshapes 3D chromatin architecture to induce immunogenic phenotype in small cell lung cancer [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2026/04/27
GSE329204	200329204	dna_repair	EZH2 inhibition reshapes 3D chromatin architecture to induce immunogenic phenotype in small cell lung cancer [ATAC-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6	GPL24676		2026/04/27
GSE295591	200295591	dna_repair	Lactate and lactylation of RNA splicing factors triggered metabolic code reverse central dogma modulates totipotency development	Mus musculus	Expression profiling by high throughput sequencing	21	GPL17021		2026/04/25
GSE290574	200290574	dna_repair	Gene Regulatory Networks Orchestrating Oocyte Fate Bifurcation in Primordial Follicles Revealed by Single-Cell Transcriptomics	Mus musculus	Expression profiling by high throughput sequencing	386	GPL24247	42106546	2026/04/24
GSE327708	200327708	dna_repair,dna_repair_title	In vivo systematic detection of the outcomes of CRISPR/Cas9 mediated DNA repair in skeletal muscle stem cells	Mus musculus	Other; Genome binding/occupancy profiling by high throughput sequencing	365	GPL34328	42015511	2026/04/23
GSE328276	200328276	dna_repair	Host-pathogen dual targeting with repurposed drugs identifies a synergistic therapy for intracellular Staphylococcus aureus	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL34284		2026/04/21
GSE288427	200288427	dna_repair,dna_repair_title	Translational changes upon aging and dietary restriction in progeroid DNA-repair-deficient mice	Mus musculus	Expression profiling by high throughput sequencing	24	GPL24247		2026/04/20
GSE288421	200288421	dna_repair,dna_repair_title	Translational changes upon aging and dietary restriction in progeroid DNA-repair-deficient mice [Ribo-Seq]	Mus musculus	Other	24	GPL30172		2026/04/20
GSE307205	200307205	dna_repair	Differential transcriptomic response of Atlantic salmon to fermented sunflower meal under commercial seawater farming conditions	Salmo salar	Expression profiling by high throughput sequencing	120	GPL24981	42008906	2026/04/16
GSE318499	200318499	dna_repair	Conserved metanephric kidney development and genome methylation in the red-eared slider turtle (Trachemys scripta elegans)	Trachemys scripta elegans; Mus musculus	Methylation profiling by high throughput sequencing	11	GPL34669	42029546	2026/04/15
GSE267211	200267211	dna_repair	Transcriptomics analysis of white adipose tissue, gastrocnemius muscle and liver tissues from Ogg1Tg mice.	Mus musculus	Expression profiling by high throughput sequencing	6	GPL17021	41812879	2026/04/15
GSE327397	200327397	dna_repair,dna_repair_title	Distantly metastatic differentiated thyroid carcinoma is   kinase-driven and enriched for DNA repair and DNA   methylation gene alterations	Homo sapiens	Methylation profiling by genome tiling array	6	GPL33022	41881819	2026/04/13
GSE300269	200300269	dna_repair	Loss of WWOX Drives Cutaneous Squamous Cell Carcinoma (cSCC) through Regulating EMT [RNA-Seq]	Mus musculus	Expression profiling by high throughput sequencing	20	GPL24247	41984841	2026/04/13
GSE300267	200300267	dna_repair	Loss of WWOX Drives Cutaneous Squamous Cell Carcinoma (cSCC) through Regulating EMT [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL24676	41984841	2026/04/13
GSE243354	200243354	dna_repair	A novel triple-action Pt(IV) prodrug presents multiple anti-cancer effects and overcomes cisplatin resistance [XR-seq]	Homo sapiens	Other	4	GPL16791	42072663	2026/04/13
GSE243353	200243353	dna_repair	A novel triple-action Pt(IV) prodrug presents multiple anti-cancer effects and overcomes cisplatin resistance [Damage-seq]	Homo sapiens	Other	4	GPL24676	42072663	2026/04/13
GSE243352	200243352	dna_repair	A novel triple-action Pt(IV) prodrug presents multiple anti-cancer effects and overcomes cisplatin resistance [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	2	GPL18573	42072663	2026/04/13
GSE310210	200310210	dna_repair	Berry-derived gold nanoparticles induce integrated oxidative stress-mediated apoptosis, immune modulation, and transcriptomic remodeling in 4T1 triple-negative cancer cells	Mus musculus	Expression profiling by high throughput sequencing	15	GPL36317	41963310	2026/04/11
GSE310515	200310515	dna_repair	Cohesin acetylation and ATPase activity control cohesion and loop architecture through distinct mechanisms	Saccharomyces cerevisiae	Other	14	GPL21656	42018406	2026/04/09
GSE295945	200295945	dna_repair,dna_repair_title	Structural basis for Lamassu-based antiviral immunity and its evolution from DNA repair machinery	Escherichia coli	Genome binding/occupancy profiling by high throughput sequencing	8	GPL29469		2026/04/09
GSE295677	200295677	dna_repair	LIN28B siRNA+BMN673	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL11154	41572432	2026/04/09
GSE293216	200293216	dna_repair	Dual-targeting PARP and LIN28B alleviates the accumulation of malignant serous effusion by decreasing vascular permeability	Mus musculus	Expression profiling by high throughput sequencing	4	GPL19057	41572432	2026/04/09
GSE327098	200327098	dna_repair,dna_repair_title	EZH2 Blockade Reverses Doxorubicin Resistance by Disrupting Metabolic and DNA Repair Networks in Breast Cancer	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL34284	42222149	2026/04/08
GSE319656	200319656	dna_repair	Bone Marrow Microenvironment in Aplastic Anemia: Insights from Nestin/ CXCL12 Immunohistochemistry and RNA-Sequencing	Homo sapiens	Expression profiling by high throughput sequencing	28	GPL18573	41943582	2026/04/08
GSE309617	200309617	dna_repair	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [bulk RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	22	GPL34284	41630032	2026/04/08
GSE309616	200309616	dna_repair	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [scRNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	2	GPL30173	41630032	2026/04/08
GSE270840	200270840	dna_repair	Super-enhancers reorganization controls re-sensitization of oxaliplatin-resistant FBXW7-mutated colorectal cancer	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	10	GPL11154	41174352	2026/04/08
GSE326530	200326530	dna_repair	Comparative circadian transcriptome analysis reveals dampened and phase-advanced rhythms in sun-exposed skin	Homo sapiens	Expression profiling by high throughput sequencing	160	GPL24676		2026/04/04
GSE293806	200293806	dna_repair	Transcriptomic profiling of bone marrow-derived mesenchymal stromal cells from patients with acquired idiopathic aplastic anemia.	Homo sapiens	Expression profiling by high throughput sequencing	7	GPL30173		2026/04/03
GSE326893	200326893	dna_repair	SPECIFIC REACTIVITY OF ABASIC SITES WITH POLYAMINES ENABLES THEIR GENOMIC MAPPING	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	48	GPL34281		2026/04/02
GSE305019	200305019	dna_repair	C/EBPβ Deficiency Enhances Keratinocyte Apoptosis after UVB-Induced DNA Damage via Regulation of the Type I IFN and TNF Responses	Mus musculus	Expression profiling by high throughput sequencing	6	GPL17021	41878233	2026/04/01
GSE324956	200324956	dna_repair	Expression profiling of mouse hippocampus from Apex1 conditional knockout and caloric restriction models across aging	Mus musculus	Expression profiling by array	24	GPL23038	42098305	2026/03/31
GSE311005	200311005	dna_repair	Integrated Multiomic Profiling Enhances Risk Stratification and Prognostication in Canine Osteosarcoma	Canis lupus familiaris	Methylation profiling by high throughput sequencing	61	GPL25760		2026/03/30
GSE326056	200326056	dna_repair	CCR5 Governs DNA Damage Repair and Breast Cancer Stem Cell Expansion	Homo sapiens	Expression profiling by high throughput sequencing	2	GPL11154		2026/03/27
GSE325338	200325338	dna_repair	ATR and PKMYT1inhibition re-sensitize a subset of TNBC patient-derived models to carboplatin and induce mitotic catastrophe	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL18573	41973002	2026/03/27
GSE325741	200325741	dna_repair	The effects of the loss of SMARCB1 on DNA damage repair	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL34281		2026/03/25
GSE325379	200325379	dna_repair	Transcriptomics analysis reveals that age affects the survival ability of offspring through an epigenetic mechanism.	Caenorhabditis elegans	Expression profiling by high throughput sequencing	8	GPL26672		2026/03/24
GSE303283	200303283	dna_repair	eIF4E2 Deficiency Drive Cisplatin Resistance in NSCLC	Homo sapiens	Expression profiling by high throughput sequencing; Other	16	GPL24676		2026/03/24
GSE316966	200316966	dna_repair	Metabolite-induced DNA damage drives stochastic stem cell loss and clonal hematopoiesis	Mus musculus	Expression profiling by high throughput sequencing	9	GPL24247	41875892	2026/03/23
GSE304405	200304405	dna_repair	Multiomics and single-cell sequencing reveal protein aggregation and translation fidelity enhance cross-tolerance of L. bulgaricus	Lactobacillus delbrueckii subsp. bulgaricus	Expression profiling by high throughput sequencing	2	GPL36091		2026/03/23
GSE277366	200277366	dna_repair	Selective nucleophagy removes cytotoxic trapped PARP1	Homo sapiens	Expression profiling by high throughput sequencing	15	GPL34284	42230924	2026/03/23
GSE230326	200230326	dna_repair	BRD8 is a therapeutic vulnerability for overcoming resistance to dual ER/HER2 blockade therapy in HR+/HER2+ breast cancer [bulkRNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL20301	41886605	2026/03/20
GSE324950	200324950	dna_repair	Potential of RAD51C as a hub gene and therapeutic target in bladder cancer	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2026/03/19
GSE286038	200286038	dna_repair	BRD8 is a therapeutic vulnerability for overcoming resistance to dual ER/HER2 blockade therapy in HR+/HER2+ breast cancer	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	8	GPL24676	41886605	2026/03/19
GSE230328	200230328	dna_repair	BRD8 is a therapeutic vulnerability for overcoming resistance to dual ER/HER2 blockade therapy in HR+/HER2+ breast cancer	Homo sapiens	Expression profiling by high throughput sequencing	16	GPL20301	41886605	2026/03/19
GSE267911	200267911	dna_repair	KAT2B-Mediated Epigenetic Suppression of RAD51C Enhances Olaparib Sensitivity in Colorectal Cancer	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL15433	41826541	2026/03/18
GSE324703	200324703	dna_repair	APOBEC3B regulates HPV replication by inducing R-loop formation and genomic instability [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL34284	41871156	2026/03/17
GSE324516	200324516	dna_repair	APOBEC3B regulates HPV replication by inducing R-loop formation and genomic instability [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6	GPL20301	41871156	2026/03/17
GSE281949	200281949	dna_repair	UV irradiation alters TFAM binding specificity and compaction of DNA	Homo sapiens	Other	4	GPL35099	41879805	2026/03/16
GSE307271	200307271	dna_repair,dna_repair_title	Glutamine Deprivation Triggers TRIB3-Dependent G4-DNA Resolution to Maintain DNA Repair and Tumor Survival  [TRIB3]	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL24676	41793192	2026/03/13
GSE307270	200307270	dna_repair,dna_repair_title	Glutamine Deprivation Triggers TRIB3-Dependent G4-DNA Resolution to Maintain DNA Repair and Tumor Survival [Glutamin deprivation]	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL24676	41793192	2026/03/13
GSE306768	200306768	dna_repair,dna_repair_title	Glutamine Deprivation Triggers TRIB3-Dependent G4-DNA Resolution to Maintain DNA Repair and Tumor Survival [CUT&Tag]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	18	GPL24676	41793192	2026/03/13
GSE310166	200310166	dna_repair	Trans-Histone Crosstalk-Mediated Establishment of Mutually Exclusive H3K79 Methylation Zones [ChIP-Seq]	Saccharomyces cerevisiae	Genome binding/occupancy profiling by high throughput sequencing	36	GPL17342	41925229	2026/03/12
GSE310163	200310163	dna_repair	Trans-Histone Crosstalk-Mediated Establishment of Mutually Exclusive H3K79 Methylation Zones [RNA-Seq]	Saccharomyces cerevisiae	Expression profiling by high throughput sequencing	8	GPL19756	41925229	2026/03/12
GSE305437	200305437	dna_repair	DNTTIP1 Drives Leukemogenesis Through HDAC1-Dependent Epigenetic Silencing of BMF [RNA-Seq, 2]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	41603084	2026/03/12
GSE305435	200305435	dna_repair	DNTTIP1 Drives Leukemogenesis Through HDAC1-Dependent Epigenetic Silencing of BMF [RNA-Seq, 1]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	41603084	2026/03/12
GSE305431	200305431	dna_repair	DNTTIP1 Drives Leukemogenesis Through HDAC1-Dependent Epigenetic Silencing of BMF [Cut & Tag, RS4;11 , HA-DNTTIP1]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL24676	41603084	2026/03/12
GSE305430	200305430	dna_repair	DNTTIP1 Drives Leukemogenesis Through HDAC1-Dependent Epigenetic Silencing of BMF [Cut & Tag, RS4;11]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL24676	41603084	2026/03/12
GSE305428	200305428	dna_repair	DNTTIP1 Drives Leukemogenesis Through HDAC1-Dependent Epigenetic Silencing of BMF [ATAC-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	2	GPL24676	41603084	2026/03/12
GSE324174	200324174	dna_repair	SbmC limits the mutation rate of Escherichia coli	Escherichia coli	Expression profiling by high throughput sequencing	3	GPL35101		2026/03/11
